sid_id,menu_cate
20.0,불고기
20.0,주꾸미
20.0,제육볶음
50.0,꽃새우
50.0,바위굴
50.0,전복
53.0,스테이크
53.0,불고기
53.0,치킨
77.0,냉면
77.0,만두
77.0,칼국수
80.0,튀김
80.0,덮밥
80.0,우동
81.0,스테이크
81.0,쉬림프
81.0,치킨
89.0,숙주볶음
89.0,치킨
89.0,소고기떡볶이볶음
92.0,카레
92.0,돈가스
92.0,고로케
94.0,감자튀김
94.0,쉬림프
94.0,감바스
95.0,그라탕
95.0,감바스
95.0,소시지
121.0,샐러드
121.0,샌드위치
123.0,꽃갈비
123.0,소고기모듬
123.0,모듬
126.0,스테이크
126.0,비프스테이크
126.0,함박스테이크
134.0,샌드위치
134.0,샐러드
134.0,두부아보카도
138.0,에이드
138.0,차
138.0,페퍼민트
141.0,버거
141.0,칠리케이준
141.0,치즈
143.0,치킨
143.0,후라이드
155.0,비빔국수
156.0,밥
160.0,튀김
160.0,스테이크
160.0,치즈
177.0,버거
177.0,양파
186.0,빙수
186.0,샌드위치
186.0,파스타
194.0,파스타
194.0,리조또
194.0,샐러드
216.0,마라탕
218.0,태국요리
218.0,똠양꿍
218.0,팟씨유
219.0,뒷다리
219.0,닭발
219.0,짬뽕
224.0,차돌양지
239.0,바지락술찜
239.0,피자
239.0,고기겨자무침
267.0,커피
267.0,유자
267.0,스콘
270.0,김치찌개
270.0,짬뽕
270.0,훠궈
284.0,스테이크
284.0,쉬림프
284.0,비프스테이크
289.0,전
289.0,도토리묵
289.0,함박스테이크
296.0,소시지
296.0,버팔로윙
296.0,피자
316.0,카레
316.0,고로케
325.0,피자
325.0,파스타
342.0,닭갈비
342.0,닭발
342.0,짬뽕
348.0,분팃느엉
348.0,분짜
348.0,쌀국수
364.0,짬뽕
364.0,골뱅이
364.0,불고기
367.0,계란
368.0,까비알레
368.0,파스타
368.0,떡볶이
381.0,덮밥
381.0,감자튀김
381.0,불고기
384.0,타르트
384.0,마카롱
384.0,베이커리
406.0,찌개
415.0,베네딕트
415.0,쉬림프
415.0,스테이크
416.0,피자
416.0,티라미수
416.0,크로크무슈
422.0,돈가스
422.0,삼치후라이
422.0,카레
431.0,숙주볶음
431.0,제육볶음
431.0,치킨
432.0,돈가스
432.0,카레
432.0,덮밥
449.0,치밥
449.0,쉬림프
449.0,해물
460.0,피자
460.0,파스타
460.0,스테이크
466.0,돈가스
485.0,볶음
485.0,제육볶음
485.0,미역국
487.0,파스타
487.0,샐러드
487.0,타르틴
491.0,치즈
491.0,샐러드
491.0,파스타
511.0,파인애플키위
511.0,초코칩
511.0,피스타치오
522.0,
532.0,파니니
532.0,샌드위치
532.0,스프
551.0,베이커리
551.0,파니니
551.0,포카치아
568.0,샐러드
568.0,베이글
568.0,샌드위치
574.0,샌드위치
574.0,토스트
574.0,샐러드
598.0,모밀
598.0,돈가스
598.0,우동
601.0,치킨
601.0,피자
601.0,치즈
615.0,비빔국수
615.0,쌀국수
615.0,볶음밥
618.0,파스타
618.0,샐러드
618.0,밥
619.0,족발
619.0,막국수
619.0,부죽
622.0,파스타
622.0,볶음밥
622.0,덮밥
625.0,파니니
625.0,와플
625.0,핫도그
631.0,샌드위치
631.0,샐러드
631.0,베이커리
639.0,덮밥
641.0,샌드위치
641.0,샐러드
641.0,베이커리
658.0,샌드위치
659.0,카르파치오
659.0,계란
659.0,버팔로윙
660.0,삼겹살
660.0,김치찌개
660.0,찌개
681.0,샐러드
681.0,차
681.0,커피
682.0,주스
682.0,에이드
682.0,차
687.0,스무디
687.0,차
687.0,초콜릿아이스크림
692.0,파스타
692.0,리조또
692.0,라따뚜이
712.0,요거트
712.0,커피
712.0,케이크
721.0,감베로니
756.0,비빔밥
756.0,떡볶이
756.0,비빔면
797.0,비빔밥
797.0,부대찌개
797.0,김치찌개
810.0,피자
810.0,함박스테이크
810.0,리조또
815.0,샐러드
815.0,파스타
833.0,블루베리크림
833.0,카라멜아몬드바나나
833.0,오레오크림
858.0,샌드위치
858.0,샐러드
858.0,파니니
895.0,스튜
895.0,캄파니
895.0,파스타
909.0,포르체타
911.0,샐러드
911.0,베이커리
911.0,또띠아
955.0,바베큐
955.0,치킨
955.0,퀘사디아
981.0,죽
981.0,볶음밥
981.0,비빔밥
986.0,샐러드
986.0,삼겹살
986.0,햄모듬플레이트
1005.0,퀘사디아
1005.0,베이커리
1005.0,샐러드
1013.0,부대찌개
1016.0,덮밥
1016.0,카레
1016.0,돈가스
1023.0,토스트
1023.0,베이커리
1035.0,피자
1035.0,감자튀김
1035.0,치즈
1060.0,감바스
1060.0,피자
1060.0,파스타
1076.0,스테이크
1076.0,쇼가야키
1076.0,데리야끼
1090.0,감자튀김
1090.0,번데기탕
1090.0,떡볶이
1091.0,닭볶음탕
1091.0,전골
1091.0,제육볶음
1099.0,삼겹살
1099.0,전
1099.0,찌개
1107.0,양고기
1107.0,소고기
1107.0,면
1126.0,곱창
1126.0,술국
1126.0,순대
1132.0,김치찜
1132.0,족발
1132.0,전
1141.0,스테이크
1141.0,라따뚜이
1141.0,감바스
1172.0,파스타
1172.0,샐러드
1172.0,리조또
1176.0,리조또
1176.0,스테이크
1176.0,파스타
1193.0,치킨
1193.0,닭발
1193.0,봉
